,latitude,longitude,Cluster
1943,32.5569636,35.8478965,0
1944,32.2747237,35.8960954,0
1945,31.1853527,35.7047682,0
1946,30.1926789,35.7249319,0
1947,31.7196097,35.7932754,0
1948,32.3416923,36.2020175,0
1949,30.8338063,35.6160513,0
1950,32.0608505,36.0942121,0
1951,51.916532,69.4110494,0
1952,48.7797078,57.9974378,0
1953,43.2220146,76.8512485,0
1954,45.0119227,78.4229392,0
1955,47.1076188,51.914133,0
1956,45.9645851,63.3052428,0
1957,48.7062687,80.7922534,0
1958,44.2220308,72.3657967,0
1959,47.9022182,71.7706807,0
1960,51.5077096,64.0479073,0
1961,44.6922613,62.6571885,0
1962,44.590802,53.8499508,0
1963,54.1622066,69.9387071,0
